aaron,ˈɛɹən
deck,ˈdɛk
declaration,ˌdɛklɝˈejʃən
declare,dɪˈklɛɹ
declared,dɪˈklɛɹd
decline,dɪˈklajn
declined,dɪˈklajnd
decor,ˈdejkɔɹ
decorating,ˈdɛkɝˌejtɪŋ
decorative,ˈdɛkɹətɪv
decrease,ˈdiˌkɹis
decreased,ˈdiˌkɹist
dedicated,ˈdɛdəkejtəd
deemed,ˈdimd
deep,ˈdip
deeper,ˈdipɝ
deeply,ˈdipli
deer,ˈdɪɹ
default,dɪˈfɔlt
defeat,dɪˈfit
defects,ˈdifɛkts
defence,dɪˈfɛns
defend,dɪˈfɛnd
defendant,dɪˈfɛndənt
defense,dɪˈfɛns
defensive,dɪˈfɛnsɪv
deferred,dɪˈfɝd
deficit,ˈdɛfəsət
define,dɪˈfajn
defined,dɪˈfajnd
defines,dɪˈfajnz
defining,dɪˈfajnɪŋ
definitely,ˈdɛfənətli
definition,ˌdɛfəˈnɪʃən
definitions,ˌdɛfəˈnɪʃənz
degree,dɪˈɡɹi
degrees,dɪˈɡɹiz
del,ˈdɛl
delaware,ˈdɛləˌwɛɹ
delay,dɪˈlej
delayed,dɪˈlejd
delays,dɪˈlejz
delegation,ˌdɛləˈɡejʃən
delete,dɪˈlit
deleted,dɪˈlitəd
delhi,ˈdɛli
delicious,dɪˈlɪʃəs
delight,dɪˈlajt
deliver,dɪˈlɪvɝ
delivered,dɪˈlɪvɝd
delivering,dɪˈlɪvɝɪŋ
delivers,dɪˈlɪvɝz
delivery,dɪˈlɪvɝi
dell,ˈdɛl
delta,ˈdɛltə
deluxe,dəˈləks
demand,dɪˈmænd
demanding,dɪˈmændɪŋ
demands,dɪˈmændz
demo,ˈdɛmow
democracy,dɪˈmɑkɹəsi
democrat,ˈdɛməˌkɹæt
democratic,ˌdɛməˈkɹætɪk
democrats,ˈdɛməˌkɹæts
demographic,ˌdɛməˈɡɹæfɪk
demonstrate,ˈdɛmənˌstɹejt
demonstrated,ˈdɛmənˌstɹejtɪd
demonstrates,ˈdɛmənˌstɹejts
demonstration,ˌdɛmənˈstɹejʃən
denial,dɪˈnajəl
denied,dɪˈnajd
denmark,ˈdɛnˌmɑɹk
dennis,ˈdɛnɪs
dense,ˈdɛns
density,ˈdɛnsəti
dental,ˈdɛnəl
dentists,ˈdɛntəsts
denver,ˈdɛnvɝ
deny,dɪˈnaj
department,dɪˈpɑɹtmənt
departmental,dɪˌpɑɹtˈmɛnəl
departments,dɪˈpɑɹtmənts
departure,dɪˈpɑɹtʃɝ
depend,dɪˈpɛnd
dependence,dɪˈpɛndəns
dependent,dɪˈpɛndənt
depending,dɪˈpɛndɪŋ
depends,dɪˈpɛndz
deployment,dɪˈplɔjmənt
deposit,dəˈpɑzɪt
deposits,dəˈpɑzɪts
depot,ˈdipow
depression,dɪˈpɹɛʃən
depth,ˈdɛpθ
deputy,ˈdɛpjəti
derby,ˈdɝbi
derek,ˈdɛɹɪk
derived,dɝˈajvd
descending,dɪˈsɛndɪŋ
describe,dɪsˈkɹajb
described,dɪsˈkɹajbd
describes,dɪsˈkɹajbz
describing,dɪsˈkɹajbɪŋ
description,dɪsˈkɹɪpʃən
descriptions,dɪsˈkɹɪpʃənz
desert,ˈdɛzɝt
deserve,dɪˈzɝv
design,dɪˈzajn
designated,ˈdɛzɪɡˌnejtɪd
designation,ˌdɛzəɡˈnejʃən
designed,dɪˈzajnd
designer,dɪˈzajnɝ
designers,dɪˈzajnɝz
designing,dɪˈzajnɪŋ
designs,dɪˈzajnz
desirable,dɪˈzajɝəbəl
desire,dɪˈzajɝ
desired,dɪˈzajɝd
desk,ˈdɛsk
desktop,ˈdɛskˌtɑp
desktops,ˈdɛskˌtɑps
desperate,ˈdɛspɝɪt
despite,dɪˈspajt
destination,ˌdɛstəˈnejʃən
destinations,ˌdɛstəˈnejʃənz
destiny,ˈdɛstəni
destroy,dɪˈstɹɔj
destroyed,dɪˈstɹɔjd
destruction,dɪˈstɹəkʃən
detail,ˈditejl
detailed,dɪˈtejld
details,ˈditejlz
detect,dɪˈtɛkt
detected,dɪˈtɛktəd
detection,dɪˈtɛkʃən
detective,dɪˈtɛktɪv
detector,dɪˈtɛktɝ
determination,dɪˌtɝməˈnejʃən
determine,dəˈtɝmən
determined,dɪˈtɝmənd
determines,dəˈtɝmənz
determining,dɪˈtɝmənɪŋ
detroit,ˈdiˌtɹɔjt
deutsch,ˈdɔjtʃ
deutsche,ˈdɔjtʃ
deutschland,ˈdɔjtʃlænd
dev,ˈdɛv
develop,dɪˈvɛləp
developed,dɪˈvɛləpt
developer,dɪˈvɛləpɝ
developers,dɪˈvɛləpɝz
developing,dɪˈvɛləpɪŋ
development,dɪˈvɛləpmənt
developmental,dɪˌvɛləpˈmɛnəl
developments,dɪˈvɛləpmənts
develops,dɪˈvɛləps
deviant,ˈdiviənt
deviation,ˌdiviˈejʃən
device,dɪˈvajs
devices,dɪˈvajsəz
devil,ˈdɛvəl
devon,ˈdɛvən
devoted,dɪˈvowtɪd
diabetes,ˌdajəˈbitiz
diagnosis,ˌdajəɡˈnowsəs
diagnostic,ˌdajəɡˈnɑstɪk
diagram,ˈdajəˌɡɹæm
dial,ˈdajəl
dialog,ˈdajəlɔɡ
dialogue,ˈdajəˌlɔɡ
diameter,dajˈæmətɝ
diamond,ˈdajmənd
diamonds,ˈdajməndz
diana,dajˈænə
diane,dajˈæn
diary,ˈdajɝi
dice,ˈdajs
dick,ˈdɪk
dicke,ˈdɪk
dicks,ˈdɪks
dictionaries,ˈdɪkʃəˌnɛɹiz
dictionary,ˈdɪkʃəˌnɛɹi
did,ˈdɪd
die,ˈdaj
died,ˈdajd
diego,diˈejɡow
dies,ˈdajz
diesel,ˈdisəl
diet,ˈdajət
dietary,ˈdajəˌtɛɹi
diff,ˈdɪf
differ,ˈdɪfɝ
difference,ˈdɪfɝəns
differences,ˈdɪfɝənsɪz
different,ˈdɪfɝənt
differential,ˌdɪfɝˈɛnʃəl
differently,ˈdɪfɝˈɛntli
difficult,ˈdɪfəkəlt
difficulties,ˈdɪfəkəltiz
difficulty,ˈdɪfəkəlti
dig,ˈdɪɡ
digest,ˈdajdʒɛst
digit,ˈdɪdʒət
digital,ˈdɪdʒətəl
dildo,ˈdɪlˌdow
dildos,ˈdɪlˌdowz
dim,ˈdɪm
dimension,dɪˈmɛnʃən
dimensional,dɪˈmɛnʃənəl
dimensions,dɪˈmɛnʃənz
dining,ˈdajnɪŋ
dinner,ˈdɪnɝ
dip,ˈdɪp
diploma,dɪˈplowmɑ
direct,dajˈɹɛkt
directed,dajˈɹɛktɪd
direction,dajˈɹɛkʃɪn
directions,dajˈɹɛkʃɪnz
directive,dajˈɹɛktɪv
directly,dajˈɹɛkli
director,dajˈɹɛktɝ
directories,dajˈɹɛktɝiz
directors,dajˈɹɛktɝz
directory,dajˈɹɛktɝi
dirt,ˈdɝt
dirty,ˈdɝti
disabilities,dɪsəˈbɪlətiz
disability,ˌdɪsəˈbɪlɪti
disable,dɪˈsejbəl
disabled,dɪˈsejbəld
disagree,dɪsəˈɡɹi
disappointed,ˌdɪsəˈpɔjnɪd
disaster,dɪˈzæstɝ
disc,ˈdɪsk
discharge,ˈdɪsˌtʃɑɹdʒ
disciplinary,ˈdɪsəpləˌnɛɹi
discipline,ˈdɪsəplən
disciplines,ˈdɪsəplənz
disclaimer,dɪˈsklejmɝ
disclaimers,dɪˈsklejmɝz
disclose,dɪˈsklowz
disclosure,dɪˈsklowʒɝ
disco,ˈdɪskow
discount,ˈdɪskawnt
discounted,ˈdɪsˌkawnɪd
discounts,ˈdɪsˌkawnts
discover,dɪˈskəvɝ
discovered,dɪˈskəvɝd
discovery,ˌdɪsˈkəvɹi
discrete,dɪsˈkɹit
discretion,dɪsˈkɹɛʃən
discrimination,dɪsˌkɹɪməˈnejʃən
discs,ˈdɪsks
discuss,dɪˈskəs
discussed,dɪˈskəst
discusses,dɪˈskəsəz
discussing,dɪˈskəsɪŋ
discussion,dɪˈskəʃən
discussions,dɪˈskəʃənz
disease,dɪˈziz
diseases,dɪˈzizəz
dish,ˈdɪʃ
dishes,ˈdɪʃəz
disk,ˈdɪsk
disks,ˈdɪsks
disney,ˈdɪzni
disorder,dɪˈsɔɹdɝ
disorders,dɪˈsɔɹdɝz
dispatch,dɪˈspætʃ
dispatched,dɪˈspætʃt
display,dɪsˈplej
displayed,dɪsˈplejd
displaying,dɪsˈplejɪŋ
displays,dɪsˈplejz
disposal,dɪˈspowzəl
disposition,ˌdɪspəˈzɪʃən
dispute,dɪˈspjut
disputes,dɪˈspjuts
distance,ˈdɪstəns
distances,ˈdɪstənsəz
distant,ˈdɪstənt
distinct,dɪˈstɪŋkt
distinction,dɪˈstɪŋkʃən
distinguished,dɪˈstɪŋɡwɪʃt
distribute,dɪˈstɹɪbjut
distributed,dɪˈstɹɪbjətəd
distribution,ˌdɪstɹəbˈjuʃən
distributions,ˌdɪstɹəbˈjuʃənz
distributor,dɪˈstɹɪbjətɝ
distributors,dɪˈstɹɪbjətɝz
district,ˈdɪstɹɪkt
districts,ˈdɪstɹɪkts
disturbed,dɪˈstɝbd
dive,ˈdajv
diverse,dajˈvɝs
diversity,dajˈvɝsɪti
divide,dɪˈvajd
divided,dɪˈvajdɪd
dividend,ˈdɪvɪˌdɛnd
divine,dɪˈvajn
diving,ˈdajvɪŋ
division,dɪˈvɪʒən
divisions,dɪˈvɪʒənz
divorce,dɪˈvɔɹs
dj,ˈdiˈdʒej
dna,ˈdiˌɛˈnej
dns,ˌdiˌɛˈnɛs
do,ˈdu
doc,ˈdɑk
dock,ˈdɑk
docs,ˈdɑks
doctor,ˈdɑktɝ
doctors,ˈdɑktɝz
doctrine,ˈdɑktɹən
document,ˈdɑkjəmɛnt
documentary,ˌdɑkjəˈmɛnɝi
documentation,ˌdɑkjəmɛnˈtejʃən
documented,ˈdɑkjəˌmɛnəd
documents,ˈdɑkjəmənts
dodge,ˈdɑdʒ
does,ˈdəz
dog,ˈdɔɡ
dogs,ˈdɑɡz
doing,ˈduɪŋ
doll,ˈdɑl
dollar,ˈdɑlɝ
dollars,ˈdɑlɝz
dolls,ˈdɑlz
dom,ˈdɑm
domain,dowˈmejn
domains,dowˈmejnz
dome,ˈdowm
domestic,dəˈmɛstɪk
dominant,ˈdɑmənənt
dominican,dəˈmɪnəkən
don,ˈdɑn
donald,ˈdɑnəld
donate,ˈdowˌnejt
donated,ˈdowˌnejtɪd
donation,dowˈnejʃən
donations,dowˈnejʃənz
done,ˈdən
donna,ˈdɑnə
donor,ˈdownɝ
donors,ˈdownɝz
doom,ˈdum
door,ˈdɔɹ
doors,ˈdɔɹz
dos,ˈdows
dosage,ˈdowsədʒ
dose,ˈdows
dot,ˈdɑt
double,ˈdəbəl
doubt,ˈdawt
doug,ˈdəɡ
douglas,ˈdəɡləs
dover,ˈdowvɝ
down,ˈdawn
download,ˈdawnˌlowd
downloaded,ˈdawnˌlowdɪd
downloading,ˈdawnˌlowdɪŋ
downloads,ˈdawnˌlowdz
downtown,ˈdawnˈtawn
dozen,ˈdəzən
dozens,ˈdəzənz
dr,ˈdɑktɝ
draft,ˈdɹæft
drag,ˈdɹæɡ
dragon,ˈdɹæɡən
drain,ˈdɹejn
drainage,ˈdɹejnədʒ
drama,ˈdɹɑmə
dramatic,dɹəˈmætɪk
dramatically,dɹəˈmætɪkəli
draw,ˈdɹɔ
drawing,ˈdɹɔjŋ
drawings,ˈdɹɔjŋz
drawn,ˈdɹɔn
draws,ˈdɹɔz
dream,ˈdɹim
dreams,ˈdɹimz
dress,ˈdɹɛs
dressed,ˈdɹɛst
dresses,ˈdɹɛsəz
dressing,ˈdɹɛsɪŋ
drew,ˈdɹu
dried,ˈdɹajd
drill,ˈdɹɪl
drilling,ˈdɹɪlɪŋ
drink,ˈdɹɪŋk
drinking,ˈdɹɪŋkɪŋ
drinks,ˈdɹɪŋks
drive,ˈdɹajv
driven,ˈdɹɪvən
driver,ˈdɹajvɝ
drivers,ˈdɹajvɝz
drives,ˈdɹajvz
driving,ˈdɹajvɪŋ
drop,ˈdɹɑp
dropped,ˈdɹɑpt
drops,ˈdɹɑps
drove,ˈdɹowv
drug,ˈdɹəɡ
drugs,ˈdɹəɡz
drum,ˈdɹəm
drums,ˈdɹəmz
drunk,ˈdɹəŋk
dry,ˈdɹaj
dryer,ˈdɹajɝ
dual,ˈduəl
dubai,duˈbaj
dublin,ˈdəblɪn
duck,ˈdək
dude,ˈdud
due,ˈdju
duke,ˈduk
dumb,ˈdəm
dump,ˈdəmp
duncan,ˈdəŋkən
duo,ˈduow
duplicate,ˈdupləˌkejt
durable,ˈdʊɹəbəl
duration,ˈdʊˈɹejʃən
durham,ˈdɝəm
during,ˈdɝɪŋ
dust,ˈdəst
dutch,ˈdətʃ
duties,ˈdutiz
duty,ˈdjuti
dvd,ˌdiˌviˈdi
dvds,ˌdiˌviˈdiz
dying,ˈdajɪŋ
dylan,ˈdɪlən
dynamic,dajˈnæmɪk
dynamics,dajˈnæmɪks
each,ˈitʃ
eagle,ˈiɡəl
eagles,ˈiɡəlz
ear,ˈiɹ
earl,ˈɝl
earlier,ˈɝliɝ
earliest,ˈɝliəst
early,ˈɝli
earn,ˈɝn
earned,ˈɝnd
earning,ˈɝnɪŋ
earnings,ˈɝnɪŋz
earrings,ˈiɹɪŋz
ears,ˈiɹz
earth,ˈɝθ
earthquake,ˈɝθˌkwejk
ease,ˈiz
easier,ˈiziɝ
easily,ˈizəli
east,ˈist
easter,ˈistɝ
eastern,ˈistɝn
easy,ˈizi
eat,ˈit
eating,ˈitɪŋ
ebay,ˈiˌbej
ebony,ˈɛbəni
echo,ˈɛkow
eclipse,əˈklɪps
eco,ˈɛkow
ecological,ɛkəˈlɑdʒɪkəl
ecology,iˈkɑlədʒi
economic,ˌɛkəˈnɑmɪk
economics,ˌɛkəˈnɑmɪks
economies,iˈkɑnəmiz
economy,iˈkɑnəmi
ecuador,ˈɛkwəˌdɔɹ
eddie,ˈɛdi
eden,ˈidən
edgar,ˈɛdɡɝ
edge,ˈɛdʒ
edges,ˈɛdʒəz
edinburgh,ˈɛdənbɝow
edit,ˈɛdət
edited,ˈɛdətəd
editing,ˈɛdətɪŋ
edition,əˈdɪʃən
editions,ɪˈdɪʃənz
editor,ˈɛdətɝ
editorial,ˌɛdəˈtɔɹiəl
editorials,ˌɛdəˈtɔɹiəlz
editors,ˈɛdɪtɝz
edmonton,ˈɛdməntən
educated,ˈɛdʒəˌkejtɪd
education,ˌɛdʒəˈkejʃən
educational,ˌɛdʒəˈkejʃənəl
educators,ˈɛdʒəˌkejtɝz
edward,ˈɛdwɝd
edwards,ˈɛdwɝdz
effect,ˈifɛkt
effective,ˈifɛktɪv
effectively,ˈifɛktɪvli
effectiveness,ˈifɛktɪvnəs
effects,ˈifɛkts
efficiency,ɪˈfɪʃənsi
efficient,ɪˈfɪʃənt
efficiently,ɪˈfɪʃəntli
effort,ˈɛfɝt
efforts,ˈɛfɝts
egg,ˈɛɡ
eggs,ˈɛɡz
egypt,ˈidʒəpt
egyptian,ɪˈdʒɪpʃən
eh,ˈɛ
eight,ˈejt
either,ˈajðɝ
ejaculation,iˌdʒækjuˈlejʃən
elder,ˈɛldɝ
elderly,ˈɛldɝli
elect,ɪˈlɛkt
elected,ɪˈlɛktəd
election,ɪˈlɛkʃən
elections,ɪˈlɛkʃənz
electoral,ɪˈlɛktɝəl
electric,ɪˈlɛktɹɪk
electrical,ɪˈlɛktɹɪkəl
electricity,ɪˌlɛkˈtɹɪsəti
electro,ɪˈlɛktɹow
electron,ˌɪˈlɛktɹɑn
electronic,ˌɪˌlɛkˈtɹɑnɪk
electronics,ˌɪˌlɛkˈtɹɑnɪks
elegant,ˈɛləɡənt
element,ˈɛləmənt
elementary,ˌɛləˈmɛntɝɹi
elements,ˈɛləmənts
elephant,ˈɛləfənt
elevation,ˌɛləˈvejʃən
eleven,ˈilɛvən
eligibility,ˌɛlɪdʒəˈbɪlɪti
eligible,ˈɛlədʒəbəl
eliminate,ɪˈlɪməˌnejt
elimination,ɪˌlɪməˈnejʃən
elite,ejˈlit
elizabeth,ɪˈlɪzəbəθ
ellen,ˈɛlən
elliott,ˈɛliət
ellis,ˈɛlɪs
else,ˈɛls
elsewhere,ˈɛlˌswɛɹ
elvis,ˈɛlvɪs
emacs,ˈiˌmæks
email,iˈmejl
emails,iˈmejlz
embassy,ˈɛmbəsi
embedded,ɛmˈbɛdɪd
emerald,ˈɛmɝɹəld
emergency,ˈimɝdʒənsi
emerging,ˈimɝdʒɪŋ
emily,ˈɛmɪli
eminem,ˈɛmənəm
emirates,ˈɛmɝˌejts
emission,ɪˈmɪʃən
emissions,ɪˈmɪʃənz
emma,ˈɛmə
emotional,ˈiˌmowʃənəl
emotions,ˈimowʃənz
emperor,ˈɛmpɝɝ
emphasis,ˈɛmfəsəs
empire,ˈɛmpajɝ
empirical,ˌɛmˈpɪɹɪkəl
employ,ɛmˈplɔj
employed,ɛmˈplɔjd
employee,ɛmˈplɔji
employees,ɛmˈplɔjiz
employer,ɛmˈplɔjɝ
employers,ɛmˈplɔjɝz
employment,ɛmˈplɔjmənt
empty,ˈɛmpti
enable,ɛˈnejbəl
enabled,ɛˈnejbəld
enables,ɛˈnejbəlz
enabling,ɛˈnejbəlɪŋ
enclosed,ɛnˈklowzd
enclosure,ɛnˈklowʒɝ
encoding,ɛnˈkowdɪŋ
encounter,ɪnˈkawnɝ
encountered,ɪnˈkawnɝd
encourage,ɛnˈkɝɪdʒ
encouraged,ɛnˈkɝɪdʒd
encourages,ɛnˈkɝɪdʒɪz
encouraging,ɛnˈkɝɪdʒɪŋ
encryption,ɛnˈkɹɪpʃən
encyclopedia,ɪnˌsajkləˈpidiə
end,ˈɛnd
endangered,ɛnˈdejndʒɝd
ended,ˈɛndəd
ending,ˈɛndɪŋ
endless,ˈɛndləs
endorsed,ɛnˈdɔɹst
endorsement,ɛnˈdɔɹsmənt
ends,ˈɛndz
enemies,ˈɛnəmiz
enemy,ˈɛnəmi
energy,ˈɛnɝdʒi
enforcement,ɛnˈfɔɹsmənt
eng,ˈɛŋ
engage,ɛnˈɡejdʒ
engaged,ɛnˈɡejdʒd
engagement,ɛnˈɡejdʒmənt
engaging,ɛnˈɡejdʒɪŋ
engine,ˈɛndʒən
engineer,ˈɛndʒəˈnɪɹ
engineering,ˈɛndʒəˈnɪɹɪŋ
engineers,ˈɛndʒəˈnɪɹz
engines,ˈɛndʒənz
england,ˈɪŋɡlənd
english,ˈɪŋɡlɪʃ
enhance,ɛnˈhæns
enhanced,ɛnˈhænst
enhancement,ɛnˈhænsmənt
enhancements,ɛnˈhænsmənts
enhancing,ɛnˈhænsɪŋ
enjoy,ˌɛnˈdʒɔj
enjoyed,ˌɛnˈdʒɔjd
enjoying,ˌɛnˈdʒɔjɪŋ
enlarge,ˌɛnˈlɑɹdʒ
enlargement,ɪnˈlɑɹdʒmənt
enormous,iˈnɔɹməs
enough,iˈnəf
enquiry,ɪnˈkwajˌɹi
enrolled,ɛnˈɹowld
enrollment,ɛnˈɹowlmənt
ensemble,ɑnˈsɑmbəl
ensure,ɛnˈʃʊɹ
ensures,ɛnˈʃʊɹz
ensuring,ɛnˈʃʊɹɪŋ
enter,ˈɛnɝ
entered,ˈɛnɝd
entering,ˈɛnɝɪŋ
enterprise,ˈɛnɝˌpɹajz
enterprises,ˈɛnɝˌpɹajzɪz
enters,ˈɛnɝz
entertaining,ˌɛnɝˈtejnɪŋ
entertainment,ˌɛnɝˈtejnmənt
entire,ɪnˈtajɝ
entirely,ɪnˈtajɝli
entities,ˈɛntɪtiz
entitled,ɛnˈtajtəld
entity,ˈɛntəti
entrance,ˈɛntɹəns
entrepreneur,ˌɑntɹəpɹəˈnɝ
entrepreneurs,ˌɑntɹəpɹəˈnɝz
entries,ˈɛntɹiz
entry,ˈɛntɹi
envelope,ˈɛnvəˌlowp
environment,ɪnˈvajɹənmənt
environmental,ɪnˌvajɹənˈmɛnəl
environments,ɪnˈvajɹənmənts
enzyme,ˈɛnˌzajm
epic,ˈɛpɪk
episode,ˈɛpəˌsowd
episodes,ˈɛpəˌsowdz
epson,ˈɛpsən
equal,ˈikwəl
equality,ɪˈkwɑləti
equally,ˈikwəli
equation,ɪˈkwejʒən
equations,ɪˈkwejʒənz
equilibrium,ˌikwəˈlɪbɹiəm
equipment,ɪˈkwɪpmənt
equipped,ɪˈkwɪpt
equity,ˈɛkwəti
equivalent,ɪˈkwɪvələnt
era,ˈɛɹə
eric,ˈɛɹɪk
ericsson,ˈɛɹɪksən
erik,ˈɛɹɪk
erotic,ɪˈɹɑtɪk
erotica,ɪˈɹɑtɪkə
error,ˈɛɹɝ
errors,ˈɛɹɝz
escape,ɪˈskejp
escort,ˈɛskɔɹt
escorts,ˈɛskɔɹts
especially,əˈspɛʃəli
espn,ˈiˈɛsˈpiˈɛn
essay,ˈɛˌsej
essays,ˈɛˌsejz
essence,ˈɛsəns
essential,ɛˈsɛnʃəl
essentially,ɛˈsɛnʃəli
essentials,ɛˈsɛnʃəlz
essex,ˈɛsɪks
establish,ɪˈstæblɪʃ
established,ɪˈstæblɪʃt
establishing,ɪˈstæblɪʃɪŋ
establishment,ɪˈstæblɪʃmənt
estate,ɪˈstejt
estates,ɪˈstejts
estimate,ˈɛstəˌmejt
estimated,ˈɛstəˌmejtəd
estimates,ˈɛstəˌmejts
estimation,ˌɛstəˈmejʃən
estonia,ɛˈstowniə
et,ˈɛt
etc,ˌɛtˈsɛtɝə
eternal,iˈtɝnəl
ethernet,ˈiθɝˌnɛt
ethical,ˈɛθɪkəl
ethics,ˈɛθɪks
ethiopia,ˌiθiˈowpiə
ethnic,ˈɛθnɪk
eugene,ˈjudʒin
euro,ˈjuɹow
europe,ˈjʊɹəp
european,ˌjʊɹəˈpiən
euros,ˈjuˌɹowz
eva,ˈejvə
evaluate,iˈvæljuˌejt
evaluated,iˈvæljuˌejtəd
evaluating,iˈvæljuˌejtɪŋ
evaluation,iˌvæljuˈejʃən
evaluations,iˌvæljuˈejʃənz
evanescence,ˌɛvəˈnɛsəns
evans,ˈɛvənz
eve,ˈiv
even,ˈivɪn
evening,ˈivnɪŋ
event,iˈvɛnt
events,iˈvɛnts
eventually,iˈvɛnʃəli
ever,ˈɛvɝ
every,ˈɛvɝi
everybody,ˈɛvɹiˌbɑdi
everyday,ˈɛvɹiˈdej
everyone,ˈɛvɹiˌwən
everything,ˈɛvɹiˌθɪŋ
everywhere,ˈɛvɹiˌwɛɹ
evidence,ˈɛvədəns
evident,ˈɛvədənt
evil,ˈivəl
evolution,ˌɛvəˈluʃən
ex,ˈɛks
exact,ɪɡˈzækt
exactly,ɪɡˈzæktli
exam,ɪɡˈzæm
examination,ɪɡˌzæməˈnejʃən
examinations,ɪɡˌzæməˈnejʃənz
examine,ɪɡˈzæmɪn
examined,ɪɡˈzæmənd
examines,ɪɡˈzæmənz
examining,ɪɡˈzæmɪnɪŋ
example,ɪɡˈzæmpəl
examples,ɪɡˈzæmpəlz
exams,ɪɡˈzæmz
exceed,ɪkˈsid
excel,ɪkˈsɛl
excellence,ˈɛksələns
excellent,ˈɛksələnt
except,ɪkˈsɛpt
exception,ɪkˈsɛpʃən
exceptional,ɪkˈsɛpʃənəl
exceptions,ɪkˈsɛpʃənz
excerpt,ˈɛksɝpt
excess,ˈɛkˌsɛs
excessive,ɪkˈsɛsɪv
exchange,ɪksˈtʃejndʒ
exchanges,ɪksˈtʃejndʒəz
excited,ɪkˈsajtəd
excitement,ɪkˈsajtmənt
exciting,ɪkˈsajtɪŋ
exclude,ɪkˈsklud
excluded,ɪkˈskludəd
excluding,ɪkˈskludɪŋ
exclusion,ɪkˈskluʒən
exclusive,ɪkˈsklusɪv
exclusively,ɪkˈsklusɪvli
excuse,ɪkˈskjus
exec,ˌɛɡˈzɛk
execute,ˈɛksəkˌjut
executed,ˈɛksəkˌjutɪd
execution,ˌɛksəkˈjuʃən
executive,ɪɡˈzɛkjətɪv
executives,ɪɡˈzɛkjətɪvz
exempt,ɪɡˈzɛmpt
exemption,ɪɡˈzɛmpʃən
exercise,ˈɛksɝˌsajz
exercises,ˈɛksɝˌsajzəz
exhaust,ɪɡˈzɔst
exhibit,ɪɡˈzɪbɪt
exhibition,ˌɛksəˈbɪʃən
exhibitions,ˌɛksəˈbɪʃənz
exhibits,ɪɡˈzɪbəts
exist,ɪɡˈzɪst
existed,ɪɡˈzɪstəd
existence,ɛɡˈzɪstəns
existing,ɪɡˈzɪstɪŋ
exists,ɪɡˈzɪsts
exit,ˈɛɡzɪt
exotic,ɪɡˈzɑtɪk
expand,ɪkˈspænd
expanded,ɪkˈspændəd
expanding,ɪkˈspændɪŋ
expansion,ɪkˈspænʃən
expect,ɪkˈspɛkt
expectations,ˌɛkspɛkˈtejʃənz
expected,ɪkˈspɛktəd
expects,ɪkˈspɛks
expedia,ɛkˈspidiə
expenditure,ɪkˈspɛndətʃɝ
expenditures,ɪkˈspɛndətʃɝz
expense,ɪkˈspɛns
expenses,ɪkˈspɛnsəz
expensive,ɪkˈspɛnsɪv
experience,ɪkˈspɪɹiəns
experienced,ɪkˈspɪɹiənst
experiences,ɪkˈspɪɹiənsɪz
experiencing,ɪkˈspɪɹiənsɪŋ
experiment,ɪkˈspɛɹəmənt
experimental,ɪkˌspɛɹɪˈmɛntəl
experiments,ɪkˈspɛɹəmənts
expert,ˈɛkspɝt
expertise,ˌɛkspɝˈtiz
experts,ˈɛkspɝts
expiration,ˌɛkspɝˈejʃən
expired,ɪkˈspajɹd
expires,ɪkˈspajɝz
explain,ɪksˈplejn
explained,ɪksˈplejnd
explaining,ɪksˈplejnɪŋ
explains,ɪksˈplejnz
explanation,ˌɛkspləˈnejʃən
explicit,ɪksˈplɪsət
explicitly,ɪksˈplɪsətli
exploration,ˌɛksplɝˈejʃən
explore,ɪksˈplɔɹ
explorer,ɪksˈplɔɹɝ
exploring,ɪksˈplɔɹɪŋ
explosion,ɪksˈplowʒən
expo,ˈɛkspow
export,ˈɛkspɔɹt
exports,ˈɛkspɔɹts
exposed,ɪkˈspowzd
exposure,ɪkˈspowʒɝ
express,ɪksˈpɹɛs
expressed,ɪksˈpɹɛst
expression,ɪksˈpɹɛʃən
expressions,ɪksˈpɹɛʃənz
extend,ɪkˈstɛnd
extended,ɪkˈstɛndəd
extending,ɪkˈstɛndɪŋ
extends,ɪkˈstɛndz
extension,ɪkˈstɛnʃən
extensions,ɪkˈstɛnʃənz
extensive,ɪkˈstɛnsɪv
extent,ɪkˈstɛnt
exterior,ɪkˈstɪɹiɝ
external,ɪkˈstɝnəl
extra,ˈɛkstɹə
extract,ˈɛkˌstɹækt
extraction,ɛkˈstɹækʃən
extraordinary,ˌɛkstɹəˈɔɹdəˌnɛɹi
extras,ˈɛkstɹəz
extreme,ɛkˈstɹim
extremely,ɛkˈstɹimli
eye,ˈaj
eyed,ˈajd
eyes,ˈajz
fabric,ˈfæbɹɪk
fabrics,ˈfæbɹɪks
fabulous,ˈfæbjələs
face,ˈfejs
faced,ˈfejst
faces,ˈfejsəz
facial,ˈfejʃəl
facilitate,fəˈsɪləˌtejt
facilities,fəˈsɪlətiz
facility,fəˈsɪlɪti
facing,ˈfejsɪŋ
fact,ˈfækt
factor,ˈfæktɝ
factors,ˈfæktɝz
factory,ˈfæktɝi
facts,ˈfæks
faculty,ˈfækəlti
fail,ˈfejl
failed,ˈfejld
failing,ˈfejlɪŋ
fails,ˈfejlz
failure,ˈfejljɝ
failures,ˈfejljɝz
fair,ˈfɛɹ
fairfield,ˈfɛɹˌfild
fairly,ˈfɛɹli
fairy,ˈfɛɹi
faith,ˈfejθ
fake,ˈfejk
